libaprutil1:amd64	install	1.5.4-1build1
libapt-inst2.0:amd64	install	1.2.26
libapt-pkg-perl	install	0.1.29build7
libapt-pkg5.0:amd64	install	1.2.26
libarchive-zip-perl	install	1.56-2
libarchive13:amd64	install	3.1.2-11ubuntu0.16.04.3
libart-2.0-2:amd64	install	2.3.21-2
libasan2:amd64	install	5.4.0-6ubuntu1~16.04.9
libasm3-java	install	3.3.2-3
libasm4-java	install	5.0.4-1
libasn1-8-heimdal:amd64	install	1.7~git20150920+dfsg-4ubuntu1.16.04.1
libasound2:amd64	install	1.1.0-0ubuntu1
libasound2-data	install	1.1.0-0ubuntu1
libasound2-plugins:amd64	install	1.1.0-0ubuntu1
libaspectj-java	install	1.8.8-1
libaspell15:amd64	install	0.60.7~20110707-3build1
libasprintf-dev:amd64	install	0.19.7-2ubuntu3
libasprintf0v5:amd64	install	0.19.7-2ubuntu3
libass5:amd64	install	0.13.1-1
libassuan0:amd64	install	2.4.2-2
libasyncns0:amd64	install	0.8-5build1
libatasmart4:amd64	install	0.19-3
libatk-adaptor:amd64	install	2.18.1-2ubuntu1
libatk-bridge2.0-0:amd64	install	2.18.1-2ubuntu1
libatk1.0-0:amd64	install	2.18.0-1
libatk1.0-data	install	2.18.0-1
libatk1.0-dev	install	2.18.0-1
libatkmm-1.6-1v5:amd64	install	2.24.2-1
libatm1:amd64	install	1:2.5.1-1.5
libatomic1:amd64	install	5.4.0-6ubuntu1~16.04.9
libatspi2.0-0:amd64	install	2.18.3-4ubuntu1
libattr1:amd64	install	1:2.4.47-2
libaudio2:amd64	install	1.9.4-4
libaudiofile1:amd64	install	0.3.6-2ubuntu0.16.04.1
libaudit-common	install	1:2.4.5-1ubuntu2.1
libaudit1:amd64	install	1:2.4.5-1ubuntu2.1
libauthen-sasl-perl	install	2.1600-1
libavahi-client3:amd64	install	0.6.32~rc+dfsg-1ubuntu2.2
libavahi-common-data:amd64	install	0.6.32~rc+dfsg-1ubuntu2.2
libavahi-common3:amd64	install	0.6.32~rc+dfsg-1ubuntu2.2
libavahi-core7:amd64	install	0.6.32~rc+dfsg-1ubuntu2.2
libavahi-glib1:amd64	install	0.6.32~rc+dfsg-1ubuntu2.2
